entry_date,action,price
2023-03-01 00:30:00,BUY,23012.0
2023-03-01 01:15:00,SELL SHORT,23159.0
2023-03-01 01:30:00,BUY,23144.5
2023-03-01 02:00:00,SELL SHORT,23120.5
2023-03-01 02:15:00,BUY,23001.0
2023-03-01 02:30:00,SELL SHORT,23074.5
2023-03-01 04:00:00,BUY,23210.5
2023-03-01 04:15:00,SELL SHORT,23211.0
2023-03-01 05:15:00,BUY,23733.5
2023-03-01 06:00:00,SELL SHORT,23573.5
2023-03-01 06:45:00,BUY,23557.0
2023-03-01 07:15:00,SELL SHORT,23749.0
2023-03-01 07:30:00,BUY,23680.0
2023-03-01 08:00:00,SELL SHORT,23711.5
2023-03-01 08:30:00,BUY,23739.5
2023-03-01 08:45:00,SELL SHORT,23754.5
2023-03-01 09:15:00,BUY,23853.5
2023-03-01 10:45:00,SELL SHORT,23749.5
2023-03-01 11:00:00,BUY,23748.5
2023-03-01 11:15:00,SELL SHORT,23782.5
2023-03-01 11:30:00,BUY,23749.5
2023-03-01 12:15:00,SELL SHORT,23726.5
2023-03-01 12:45:00,BUY,23720.5
2023-03-01 13:45:00,SELL SHORT,23667.5
2023-03-01 14:15:00,BUY,23658.0
2023-03-01 14:30:00,SELL SHORT,23688.5
2023-03-01 15:00:00,BUY,23668.5
2023-03-01 15:45:00,SELL SHORT,23723.5
2023-03-01 16:00:00,BUY,23716.5
2023-03-01 16:30:00,SELL SHORT,23623.5
2023-03-01 17:00:00,BUY,23578.5
2023-03-01 17:15:00,SELL SHORT,23713.0
2023-03-01 17:30:00,BUY,23682.5
2023-03-01 17:45:00,SELL SHORT,23732.0
2023-03-01 18:00:00,BUY,23710.5
2023-03-01 19:00:00,SELL SHORT,23698.0
2023-03-01 19:15:00,BUY,23670.0
2023-03-01 20:45:00,SELL SHORT,22215.5
2023-03-01 22:15:00,BUY,23535.0
2023-03-01 23:00:00,SELL SHORT,23532.5
2023-03-01 23:15:00,BUY,23440.0
2023-03-01 23:30:00,SELL SHORT,23518.0
2023-03-01 23:45:00,BUY,23263.0
2023-03-02 00:00:00,SELL SHORT,23323.0
2023-03-02 00:45:00,BUY,23424.5
2023-03-02 01:15:00,SELL SHORT,23395.0
2023-03-02 01:30:00,BUY,23356.5
2023-03-02 02:15:00,SELL SHORT,23453.5
2023-03-02 02:45:00,BUY,23343.5
2023-03-02 03:00:00,SELL SHORT,23493.5
2023-03-02 03:15:00,BUY,23489.5
2023-03-02 04:00:00,SELL SHORT,23497.5
2023-03-02 04:15:00,BUY,23488.5
2023-03-02 04:45:00,SELL SHORT,23512.0
2023-03-02 05:00:00,BUY,23425.0
2023-03-02 05:15:00,SELL SHORT,23478.5
2023-03-02 05:30:00,BUY,23379.0
2023-03-02 06:15:00,SELL SHORT,23385.5
2023-03-02 06:45:00,BUY,22720.5
2023-03-02 07:30:00,SELL SHORT,22750.0
2023-03-02 09:00:00,BUY,23437.0
2023-03-02 09:15:00,SELL SHORT,23441.0
2023-03-02 09:45:00,BUY,23354.0
2023-03-02 10:00:00,SELL SHORT,23392.5
2023-03-02 10:15:00,BUY,23377.0
2023-03-02 10:30:00,SELL SHORT,23385.0
2023-03-02 10:45:00,BUY,23354.0
2023-03-02 11:00:00,SELL SHORT,23368.0
2023-03-02 11:15:00,BUY,23359.5
2023-03-02 11:30:00,SELL SHORT,23390.5
2023-03-02 12:15:00,BUY,23400.0
2023-03-02 13:00:00,SELL SHORT,23347.0
2023-03-02 13:15:00,BUY,23151.0
2023-03-02 13:30:00,SELL SHORT,23353.0
2023-03-02 14:00:00,BUY,23006.5
2023-03-02 14:15:00,SELL SHORT,23248.0
2023-03-02 14:45:00,BUY,23269.0
2023-03-02 15:00:00,SELL SHORT,23302.5
2023-03-02 15:15:00,BUY,23201.0
2023-03-02 15:30:00,SELL SHORT,23224.5
2023-03-02 16:15:00,BUY,23345.5
2023-03-02 17:15:00,SELL SHORT,22663.5
2023-03-02 17:45:00,BUY,23243.5
2023-03-02 18:30:00,SELL SHORT,23282.0
2023-03-02 18:45:00,BUY,23259.5
2023-03-02 19:00:00,SELL SHORT,23443.5
2023-03-02 19:15:00,BUY,23423.0
2023-03-02 19:45:00,SELL SHORT,23431.5
2023-03-02 20:30:00,BUY,23429.0
2023-03-02 22:30:00,SELL SHORT,23417.0
2023-03-02 23:30:00,BUY,23388.0
2023-03-02 23:45:00,SELL SHORT,23417.0
2023-03-03 00:00:00,BUY,23416.5
2023-03-03 00:15:00,SELL SHORT,23433.0
2023-03-03 00:30:00,BUY,23388.0
2023-03-03 00:45:00,SELL SHORT,23399.0
2023-03-03 01:00:00,BUY,23398.5
2023-03-03 02:15:00,SELL SHORT,22282.0
2023-03-03 02:30:00,BUY,22129.0
2023-03-03 02:45:00,SELL SHORT,22327.5
2023-03-03 03:15:00,BUY,22290.0
2023-03-03 03:45:00,SELL SHORT,22357.0
2023-03-03 04:00:00,BUY,22322.0
2023-03-03 04:15:00,SELL SHORT,22326.0
2023-03-03 04:30:00,BUY,22288.5
2023-03-03 05:15:00,SELL SHORT,22361.0
2023-03-03 05:30:00,BUY,22333.0
2023-03-03 05:45:00,SELL SHORT,22350.5
2023-03-03 06:00:00,BUY,22333.0
2023-03-03 06:15:00,SELL SHORT,22357.5
2023-03-03 06:45:00,BUY,22374.5
2023-03-03 07:00:00,SELL SHORT,22377.5
2023-03-03 07:15:00,BUY,22169.5
2023-03-03 07:30:00,SELL SHORT,22252.0
2023-03-03 08:00:00,BUY,22246.5
2023-03-03 08:45:00,SELL SHORT,22295.0
2023-03-03 09:00:00,BUY,22195.0
2023-03-03 09:15:00,SELL SHORT,22404.0
2023-03-03 09:30:00,BUY,22388.5
2023-03-03 10:00:00,SELL SHORT,22358.5
2023-03-03 11:00:00,BUY,22333.5
2023-03-03 11:15:00,SELL SHORT,22339.0
2023-03-03 11:30:00,BUY,22333.5
2023-03-03 12:00:00,SELL SHORT,22342.5
2023-03-03 12:15:00,BUY,22090.5
2023-03-03 12:30:00,SELL SHORT,22346.5
2023-03-03 12:45:00,BUY,22329.5
2023-03-03 13:00:00,SELL SHORT,22342.5
2023-03-03 13:15:00,BUY,22250.5
2023-03-03 13:30:00,SELL SHORT,22373.0
2023-03-03 13:45:00,BUY,22320.0
2023-03-03 14:00:00,SELL SHORT,22398.0
2023-03-03 14:15:00,BUY,22390.5
2023-03-03 15:15:00,SELL SHORT,22401.5
2023-03-03 15:30:00,BUY,22298.0
2023-03-03 15:45:00,SELL SHORT,22343.0
2023-03-03 16:00:00,BUY,22269.0
2023-03-03 16:30:00,SELL SHORT,22336.5
2023-03-03 17:30:00,BUY,22292.5
2023-03-03 17:45:00,SELL SHORT,22350.5
2023-03-03 18:15:00,BUY,22358.5
